500,0.0168204,0.0217681,0.0123914,-8,0,0.0103334,0.0113474,0.0136188,0,0,8
1000,0.0177302,0.0202257,0.00915605,-16,0,-0.000540921,-0.008557,0.000814736,0,0,25
1500,0.0171723,0.0210102,0.00887879,-27,0,-0.0178943,-0.0244395,-0.0150851,0,0,44
2000,0.0166984,0.0179454,0.00745055,-38,0,-0.0302865,-0.0537916,-0.0287969,0,1,2
2500,0.0181631,0.0184457,0.0106277,-48,0,-0.0372867,-0.0617896,-0.0406975,0,1,19
3000,0.0191919,0.0183964,0.00996626,-59,0,-0.050923,-0.0687936,-0.0598892,0,1,38
3500,0.0184984,0.0194057,0.00863489,-70,0,-0.0456153,-0.0616085,-0.0544828,0,1,57
4000,0.0152386,0.0184467,0.0138334,-81,0,-0.0364654,-0.0371787,-0.0512497,0,2,16
4500,0.0178344,0.0184272,0.00885891,-92,0,0.065736,0.0641693,0.0458073,0,2,34
5000,0.0194201,0.0184136,0.0102991,-103,0,0.208906,0.235019,0.185627,0,2,52
5500,0.0173386,0.019925,0.00868311,-114,0,0.419969,0.381272,0.403306,0,3,13
6000,0.0181756,0.0192011,0.0107811,-125,0,0.396022,0.146102,0.392899,0,3,31
6500,0.0180292,0.0189574,0.00895748,-135,0,0.966188,0.975158,0.950177,0,3,52
7000,0.0153699,0.0161731,0.00820026,-143,0,1.23216,1.26597,1.22146,0,4,12
7500,0.0177068,0.0199752,0.0116589,-153,0,1.38161,1.32208,1.39538,0,4,32
8000,0.0197106,0.0182164,0.0109317,-164,0,1.02553,1.07225,1.01634,0,4,53
8500,0.017832,0.019087,0.00952065,-175,0,1.46792,1.47492,1.46367,0,5,12
9000,0.0176728,0.0162672,0.0105222,-182,0,1.13635,1.10817,1.1181,0,5,32
9500,0.017696,0.0196035,0.00994122,-193,0,1.22664,1.21795,1.23071,0,5,51
10000,0.0177742,0.018046,0.0124952,-204,0,1.06062,1.10212,1.0581,0,6,12
10500,0.0175516,0.019543,0.00743684,-214,0,1.23203,1.24691,1.22892,0,6,32
11000,0.0157581,0.01619,0.00738234,-219,0,0.899919,0.567773,0.862846,0,6,53
11500,0.0154999,0.020828,0.0121421,-226,0,1.11611,1.11927,1.11615,0,7,13
12000,0.0214291,0.0175854,0.0103782,-237,0,1.63177,1.63094,1.62148,0,7,33
12500,0.0167733,0.0185311,0.00985247,-247,0,1.01931,0.82382,1.0069,0,7,54
13000,0.0187569,0.0179949,0.00915878,-258,0,1.52662,1.56639,1.51796,0,8,14
13500,0.0152116,0.0191927,0.00987914,-269,0,1.25474,1.25589,1.26459,0,8,32
14000,0.0174692,0.0175011,0.0133252,-280,0,1.10684,1.08708,1.11275,0,8,53
14500,0.014876,0.0205172,0.0108661,-291,0,1.27979,1.27875,1.3108,0,9,13
15000,0.0171839,0.0202313,0.0108047,-302,0,1.44164,1.42337,1.44594,0,9,33
15500,0.0154246,0.0202599,0.0105174,-309,0,1.21498,1.21006,1.21721,0,9,54
16000,0.0156751,0.0222832,0.0131326,-320,0,0.999907,1.01598,0.998315,0,10,14
16500,0.0159036,0.0164936,0.0107591,-324,0,0.946843,0.910962,0.942092,0,10,34
17000,0.0162652,0.0170574,0.0113711,-328,0,0.985898,0.965801,0.962961,0,10,53
17500,0.0168702,0.0202313,0.0115366,-338,0,1.02475,1.07583,1.05018,0,11,14
18000,0.0162565,0.0158238,0.0101863,-344,0,1.0176,1.00089,1.0165,0,11,34
18500,0.0154865,0.0153462,0.0101082,-349,0,1.07592,1.05864,1.08462,0,11,54
19000,0.0175601,0.0157857,0.00969621,-354,0,0.975031,1.00546,0.981763,0,12,14
19500,0.0152391,0.0188993,0.00995319,-360,0,0.957577,0.957428,0.932746,0,12,35
20000,0.0141204,0.0156948,0.00950646,-367,0,0.982358,1.00126,0.978806,0,12,57
